userId,itemId,rating,,,,item1,item2,,,,,,,,,,,,,,userId,itemId,rating,,userId,itemId,rating
1,1,0.995333333,,,1,0.429333333,0.36,,0,0,,-0.429333333,0.36,,,,,,,,1,1,0.145333333,,1,1,0.995333333
2,1,1.372666667,,,2,0.663333333,0.332,,0,0,,-0.663333333,-0.332,,,,,,,,1,2,0.252666667,,2,1,1.372666667
3,1,0.998,,,3,0.425333333,0.02,,0,0,,-0.425333333,0.02,,,,,,,,2,1,0.174,,3,1,0.998
4,1,1.65,,,4,0.411333333,0.492666667,,0,0,,-0.411333333,-0.492666667,,,,,,,,2,2,0.510666667,,4,1,1.65
5,1,1.548,,,5,0.05,5.568,,0,5,,0.05,-0.568,,,,,,,,3,1,0.414,,5,1,1.548
6,1,1.337333333,,,6,0.276666667,4.512,,0,5,,0.276666667,0.488,,,,,,,,3,2,0.455333333,,6,1,1.337333333
7,1,1.638,,,7,0.616666667,4.523333333,,0,5,,-0.616666667,0.476666667,,,,,,,,4,1,0.314,,7,1,1.638
8,1,1.116666667,,,8,0.134666667,5.17,,0,5,,0.134666667,-0.17,,,,,,,,4,2,0.620666667,,8,1,1.116666667
9,1,3.614666667,,#¿NOMBRE?,9,4.906,0.396666667,,5,0,,0.094,0.396666667,,,,,,,,5,1,0.653333333,,9,1,3.614666667
10,1,3.787333333,,3,10,4.402666667,0.146,,5,0,,0.597333333,0.146,,,,,,,,5,2,4.38,,10,1,3.787333333
11,1,4.618,,,11,5.004,0.150666667,,5,0,,-0.004,-0.150666667,,,,,,,,6,1,0.213333333,,11,1,4.618
12,1,4.26,,,12,4.570666667,0.508,,5,0,,0.429333333,-0.508,,,,,,,,6,2,4.69,,12,1,4.26
13,1,3.914666667,,,13,4.860666667,5.15,,5,5,,0.139333333,-0.15,,,,,,,,7,1,0.547333333,,13,1,3.914666667
14,1,3.976666667,,,14,5.175333333,5.172,,5,5,,-0.175333333,-0.172,,,,,,,,7,2,4.356,,14,1,3.976666667
15,1,3.552,,,15,4.419333333,4.907333333,,5,5,,0.580666667,0.092666667,,,,,,,,8,1,0.428,,15,1,3.552
16,1,3.438,,,16,5.208666667,5.258666667,,5,5,,-0.208666667,-0.258666667,,,,,,,,8,2,4.660666667,,16,1,3.438
1,2,1.111333333,,,,,,,,,,,,,,,,,,,9,1,4.890666667,,1,2,1.111333333
2,2,0.861333333,,,,,,,,,,,,,,,,,,,9,2,0.598,,2,2,0.861333333
3,2,0.448,,,1,0.995333333,1.111333333,Abajo derecha,,,,,,,,,,,,,10,1,5,,3,2,0.448
4,2,1.401333333,,,2,1.372666667,0.861333333,,,,,,,,,,,,,,10,2,0.070666667,,4,2,1.401333333
5,2,4.238,,,3,0.998,0.448,,,,,,,,,,,,,,11,1,4.89,,5,2,4.238
6,2,4.545333333,,,4,1.65,1.401333333,,,,,,,,,,,,,,11,2,0.594,,6,2,4.545333333
7,2,4.488,,,5,1.548,4.238,Arriba Derecha,,,,,,,,,,,,,12,1,4.698,,7,2,4.488
8,2,3.815333333,,,6,1.337333333,4.545333333,,,,,,,,,,,,,,12,2,0.300666667,,8,2,3.815333333
9,2,0.390666667,,,7,1.638,4.488,,,,,,,,,,,,,,13,1,5,,9,2,0.390666667
10,2,1.308666667,,,8,1.116666667,3.815333333,,,,,,,,,,,,,,13,2,5,,10,2,1.308666667
11,2,1.154,,,9,3.614666667,0.390666667,Abajo Izquierda,,,,,,,,,,,,,14,1,4.505333333,,11,2,1.154
12,2,0.717333333,,,10,3.787333333,1.308666667,,,,,,,,,,,,,,14,2,5,,12,2,0.717333333
13,2,3.635333333,,,11,4.618,1.154,,,,,,,,,,,,,,15,1,4.8,,13,2,3.635333333
14,2,3.912,,,12,4.26,0.717333333,,,,,,,,,,,,,,15,2,4.439333333,,14,2,3.912
15,2,3.624666667,,,13,3.914666667,3.635333333,Arriba Izquierda,,,,,,,,,,,,,16,1,5,,15,2,3.624666667
16,2,4.35,,,14,3.976666667,3.912,,,,,,,,,,,,,,16,2,4.524,,16,2,4.35
,,,,,15,3.552,3.624666667,,,,,,,,,,,,,,,,,,1,3,4.5
,,,,,16,3.438,4.35,,,,,,,,,,,,,,,,,,2,3,4.5
,,,,,,,,,,,,,,,,,,,,,,,,,3,3,4.5
,,,,,,,,,,,,,,,,,,,,,,,,,4,3,4.5
,,,,,,,,,,,,,,,,,,,,,,,,,5,4,4.5
,,,,,,,,,,,,,,,,,,,,,,,,,6,4,4.5
,,,,,,,,,,,,,,,,,,,,,,,,,7,4,4.5
,,,,,,,,,,,,,,,,,,,,,,,,,8,4,4.5
,,,,,,,,,,,,,,,,,,,,,,,,,9,5,4.5
,,,,,,,,,,,,,,,,,,,,,,,,,10,5,4.5
,,,,,,,,,,,,,,,,,,,,,,,,,11,5,4.5
,,,,,,,,,,,,,,,,,,,,,,,,,12,5,4.5
,,,,,,,,,,,,,,,,,,,,,,,,,13,6,4.5
,,,,,,,,,,,,,,,,,,,,,,,,,14,6,4.5
,,,,,,,,,,,,,,,,,,,,,,,,,15,6,4.5
,,,,,,,,,,,,,,,,,,,,,,,,,16,6,4.5
