adult,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,keywords
False,,30000000,Animation;Comedy;Family,http://toystory.disney.com/toy-story,862,tt0114709,en,Toy Story,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",21.946943,/rhIRbceoE9lR4veEXuwCC2wARtG.jpg,Pixar Animation Studios,,1995-10-30,373554033,81,en,Released,,Toy Story,False,7.7,5415,jealousy;toy;boy;friendship;friends;rivalry;boy next door;new toy;toy comes to life
False,,65000000,Adventure;Fantasy;Family,,8844,tt0113497,en,Jumanji,"When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.",17.015539,/vzmL6fP7aPKNKPRTFnZmiUfciyV.jpg,TriStar Pictures;Teitler Film;Interscope Communications,,1995-12-15,262797249,104,en;fr,Released,Roll the dice and unleash the excitement!,Jumanji,False,6.9,2413,board game;disappearance;based on children's book;new home;recluse;giant insect
False,,60000000,Action;Crime;Drama;Thriller,,949,tt0113277,en,Heat,"Obsessive master thief, Neil McCauley leads a top-notch crew on various insane heists throughout Los Angeles while a mentally unstable detective, Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.",17.924927,/zMyfPUelumio3tiDKPffaUpsQTD.jpg,Regency Enterprises;Forward Pass;Warner Bros.,,1995-12-15,187436818,170,en;es,Released,A Los Angeles Crime Saga,Heat,False,7.7,1886,robbery;detective;bank;obsession;chase;shooting;thief;honor;murder;suspense;heist;betrayal;money;gang;cat and mouse;criminal mastermind;cult film;ex-con;heist movie;one last job;loner;bank job;neo-noir;gun fight;crime epic
False,,58000000,Adventure;Action;Thriller,http://www.mgm.com/view/movie/757/Goldeneye/,710,tt0113189,en,GoldenEye,James Bond must unmask the mysterious head of the Janus Syndicate and prevent the leader from utilizing the GoldenEye weapons system to inflict devastating revenge on Britain.,14.686036,/5c0ovjT41KnYIHYuF4AWsTe3sKh.jpg,United Artists;Eon Productions,,1995-11-16,352194034,130,en;ru;es,Released,No limits. No fears. No substitutes.,GoldenEye,False,6.6,1194,cuba;falsely accused;secret identity;computer virus;secret base;secret intelligence service;kgb;satellite;special car;cossack;electromagnetic pulse;time bomb;st. petersburg russia;ejection seat;red army
False,,98000000,Action;Adventure,,1408,tt0112760,en,Cutthroat Island,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.",7.284477,/odM9973kIv9hcjfHPp6g6BlyTIJ.jpg,Le Studio Canal+;Laurence Mark Productions;Metro-Goldwyn-Mayer (MGM);Carolco Pictures,,1995-12-22,10017322,119,en;la,Released,The Course Has Been Set. There Is No Turning Back. Prepare Your Weapons. Summon Your Courage. Discover the Adventure of a Lifetime!,Cutthroat Island,False,5.7,137,exotic island;treasure;map;ship;scalp;pirate
False,,52000000,Drama;Crime,,524,tt0112641,en,Casino,The life of the gambling paradise – Las Vegas – and its dark mafia underbelly.,10.137389,/xo517ibXBDdYQY81j0WIG7BVcWq.jpg,Universal Pictures;Légende Entreprises;Syalis DA;De Fina-Cappa,,1995-11-22,116112375,178,en,Released,No one stays at the top forever.,Casino,False,7.8,1343,poker;drug abuse;1970s;overdose;illegal prostitution
False,,16500000,Drama;Romance,,4584,tt0114388,en,Sense and Sensibility,"Rich Mr. Dashwood dies, leaving his second wife and her daughters poor by the rules of inheritance. Two daughters are the titular opposites.",10.673167,/lA9HTy84Bb6ZwNeyoZKobcMdpMc.jpg,Columbia Pictures Corporation;Mirage Enterprises,,1995-12-13,135000000,136,en,Released,Lose your heart and come to your senses.,Sense and Sensibility,False,7.2,364,bowling;based on novel;servant;country life;jane austen;inheritance;military officer;period drama;rainstorm;horse and carriage;decorum
False,,4000000,Crime;Comedy,,5,tt0113101,en,Four Rooms,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,9.026586,/eQs5hh9rxrk1m4xHsIz1w11Ngqb.jpg,Miramax Films;A Band Apart,,1995-12-09,4300000,98,en,Released,"Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life.",Four Rooms,False,6.5,539,hotel;new year's eve;witch;bet;hotel room;sperm;los angeles;hoodlum;woman director;episode film
False,,30250000,Comedy;Thriller;Crime,,8012,tt0113161,en,Get Shorty,"Chili Palmer is a Miami mobster who gets sent by his boss, the psychopathic ""Bones"" Barboni, to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.",12.669608,/vWtDUUgQAsVyvRW4mE75LBgVm2e.jpg,Jersey Films;Metro-Goldwyn-Mayer (MGM),,1995-10-20,115101622,105,en,Released,"The mob is tough, but it’s nothing like show business.",Get Shorty,False,6.4,305,gambling;miami;based on novel;job;murder;travel;mafia;money;debt;mobster;business;hollywood;gangster;crime;violence;drug;producer;con
False,,0,Drama;Thriller,,1710,tt0112722,en,Copycat,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,10.701801,/80czeJGSoik22fhtUM9WzyjUU4r.jpg,Regency Enterprises;New Regency Pictures,,1995-10-27,0,124,en;de,Released,"One man is copying the most notorious killers in history one at a time. Together, two women must stop him from killing again. Or they're next.",Copycat,False,6.5,199,police brutality;psychology;police operation;police protection;serial killer;psychologist;cowardliness
